Reference, Value, Footprint, Datasheet, MFG Name, MFG Part Num, Distrib PN, Distrib Link, Tolerance, Others, More, MFG Link, Drawing
Q1,BC817-40,TO_SOT_Packages_SMD:SOT-23_Handsoldering,http://www.diodes.com/_files/datasheets/ds11107.pdf,Diodes Incorporated,BC817-40-7-F,621-BC817-40-7-F,http://www.mouser.com/ProductDetail/Diodes-Incorporated/BC817-40-7-F/?qs=rGAXPo9uwV11o%252bqBQVUw0g%3D%3D,,,,,
SP1,SPEAKER,Buzzers_Beepers:Buzzer_12x9.5RM7.6,http://www.puiaudio.com/pdf/AI-1223-TWT-5V-R.pdf,CUI,AI-1223-TWT-5V-R,665-AI-1223TWT5VR,http://www.mouser.com/ProductDetail/PUI-Audio/AI-1223-TWT-5V-R/?qs=hFHXi4OlQrkyrRn%252bNLipFQ%3D%3D,-,http://www.mouser.com/Electromechanical/Audio-Devices/Audio-Indicators-Alerts/_/N-awp3t?P=1z0j88uZ1yvn8g3Z1yvn8g8Z1z0x81tZ1z0x2ccZ1z0z68l,,,
IC1,74HC4050,SMD_Packages:SO-16-N,http://www.nxp.com/documents/data_sheet/74HC4050.pdf,Texas Instruments,CD74HC4050M96,595-CD74HC4050M96,http://www.mouser.com/ProductDetail/Texas-Instruments/CD74HC4050M96/?qs=sGAEpiMZZMuiiWkaIwCK2bK%2fUlbxrrJCUOuAVqS%252bMgQ%3d,,,,,
EXP2,CONN_02X05,Connect:IDC_Header_Straight_10pins,http://multimedia.3m.com/mws/media/22504O/3mtm-100-in-loprof-hdr-100x-100strt-ra-4-wall-ts0818.pdf,3M Electronic Solutions Division,30310-6002HB,517-30310-6002,http://www.mouser.com/ProductDetail/3M-Electronic-Solutions-Division/30310-6002HB/?qs=sGAEpiMZZMs%252bGHln7q6pmwu5ra4CY41iHF1AQhwXwqM%3d,-,http://www.mouser.com/Connectors/Headers-Wire-Housings/_/N-ay0lo?P=1z0xbxoZ1yvgchwZ1ytkn06Z1z0z5h6Z1yspai7Z1z0wxp6Z1yzv7x2Z1yzobh4,http://www.digikey.com/product-search/en/connectors-interconnects/rectangular-connectors-headers-male-pins/1442547?k=header&k=&pkeyword=header&pv563=3&FV=700783%2C1140050%2C160000a%2C1680002%2C168001d%2C168001e%2Cfff40016%2Cfff802f3%2C1640001&mnonly=0&newproducts=0&ColumnSort=0&page=1&quantity=0&ptm=0&fid=0&pageSize=25,,
C1,100nF,Capacitors_SMD:C_0805_HandSoldering,http://datasheets.avx.com/X7RDielectric.pdf,AVX,08055C104KAT2A,581-08055C104K,http://www.mouser.com/ProductDetail/AVX/08055C104KAT2A/?qs=sGAEpiMZZMsh%252b1woXyUXj6J4WeyU1oq0E4w%252bkcmJyd8%3d,10%,http://www.mouser.com/Passive-Components/Capacitors/Ceramic-Capacitors/MLCCs-Multilayer-Ceramic-Capacitors/Multilayer-Ceramic-Capacitors-MLCC-SMD-SMT/_/N-bkrdv?P=1yzmou0Z1z0wqus,,,
R1,1kΩ,Resistors_SMD:R_0805_HandSoldering,http://www.vishay.com/docs/20035/dcrcwe3.pdf,Vishay / Dale,CRCW08051K00FKEA,71-CRCW0805-1.0K-E3,http://www.mouser.com/ProductDetail/Vishay-Dale/CRCW08051K00FKEA/?qs=sGAEpiMZZMvdGkrng054tygjBeyq%2fOAOnWKdUDKibXI%3d,1%,http://www.mouser.com/Passive-Components/Resistors/SMD-Resistors-Chip-Resistors/Thick-Film-Resistors/_/N-7h7yz?P=1yzmq8cZ1yzmou0,,,
EXP1,CONN_02X05,Connect:IDC_Header_Straight_10pins,http://multimedia.3m.com/mws/media/22504O/3mtm-100-in-loprof-hdr-100x-100strt-ra-4-wall-ts0818.pdf,3M Electronic Solutions Division,30310-6002HB,517-30310-6002,http://www.mouser.com/ProductDetail/3M-Electronic-Solutions-Division/30310-6002HB/?qs=sGAEpiMZZMs%252bGHln7q6pmwu5ra4CY41iHF1AQhwXwqM%3d,-,http://www.mouser.com/Connectors/Headers-Wire-Housings/_/N-ay0lo?P=1z0xbxoZ1yvgchwZ1ytkn06Z1z0z5h6Z1yspai7Z1z0wxp6Z1yzv7x2Z1yzobh4,http://www.digikey.com/product-search/en/connectors-interconnects/rectangular-connectors-headers-male-pins/1442547?k=header&k=&pkeyword=header&pv563=3&FV=700783%2C1140050%2C160000a%2C1680002%2C168001d%2C168001e%2Cfff40016%2Cfff802f3%2C1640001&mnonly=0&newproducts=0&ColumnSort=0&page=1&quantity=0&ptm=0&fid=0&pageSize=25,,
U1,MIC5209-3.3YS,TO_SOT_Packages_SMD:SOT-223,http://ww1.microchip.com/downloads/en/DeviceDoc/mic5209.pdf,Micrel,MIC5209-3.3YS-TR,998-MIC5209-3.3YSTR,http://www.mouser.com/ProductDetail/Microchip-Technology-Micrel/MIC5209-33YS-TR/?qs=U6T8BxXiZAXms9mvoyYO%2FQ%3D%3D,,,,,
C3,100nF,Capacitors_SMD:C_0805_HandSoldering,http://datasheets.avx.com/X7RDielectric.pdf,AVX,08055C104KAT2A,581-08055C104K,http://www.mouser.com/ProductDetail/AVX/08055C104KAT2A/?qs=sGAEpiMZZMsh%252b1woXyUXj6J4WeyU1oq0E4w%252bkcmJyd8%3d,10%,http://www.mouser.com/Passive-Components/Capacitors/Ceramic-Capacitors/MLCCs-Multilayer-Ceramic-Capacitors/Multilayer-Ceramic-Capacitors-MLCC-SMD-SMT/_/N-bkrdv?P=1yzmou0Z1z0wqus,,,
C4,1uF,Capacitors_SMD:C_1206_HandSoldering,http://www.vishay.com/docs/28548/vjw1bcbascomseries.pdf,Vishay,VJ1206Y105JXJTW1BC,77-VJ1206Y105JXJTBC,http://www.mouser.com/ProductDetail/Vishay-Vitramon/VJ1206Y105JXJTW1BC/?qs=sGAEpiMZZMs0AnBnWHyRQCv4vfTUG%2fvHfREsY4F6A1E%3d,5%,http://www.mouser.com/Passive-Components/Capacitors/_/N-5g7r?P=1z0wrj5Z1yzmotyZ1z0x6fr,,,
DS1,LCD_Panel,Pin_Headers:Pin_Header_Straight_1x20,http://www.buydisplay.com/download/manual/ERM12864-6_Series_Datasheet.pdf,Sitronix/LCD China,ST7920,ERM12864SBS-6,http://www.buydisplay.com/default/lcd-display-serial-graphic-display-128x64-st7920-white-on-blue,,,,,
RBL1,68Ω,Resistors_SMD:R_0805_HandSoldering,http://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C84.pdf,Panasonic,ERJ-6GEYJ680V,667-ERJ-6GEYJ680V,http://www.mouser.com/ProductDetail/Panasonic/ERJ-6GEYJ680V/?qs=sGAEpiMZZMvdGkrng054tw5%2fFYq5P%2fDoF7rqmjybphc%3d,5%,http://www.mouser.com/Passive-Components/Resistors/SMD-Resistors-Chip-Resistors/Thick-Film-Resistors/_/N-7h7yz?P=1z0x8aiZ1yzmou0,,,
EN1,EC11E15244B2,GLCD:Rotary_Encoder,http://www.alps.com/prod/info/E/PDF/Switch/Encoder/EC11/EC11.PDF,ALPS,EC11E15244B2,688-EC11E15244B2,http://www.mouser.com/ProductDetail/ALPS/EC11E15244B2/?qs=m0BA540hBPfDpUEkDmFV5A%3D%3D,,,,,
C2,100nF,Capacitors_SMD:C_0805_HandSoldering,http://datasheets.avx.com/X7RDielectric.pdf,AVX,08055C104KAT2A,581-08055C104K,http://www.mouser.com/ProductDetail/AVX/08055C104KAT2A/?qs=sGAEpiMZZMsh%252b1woXyUXj6J4WeyU1oq0E4w%252bkcmJyd8%3d,10%,http://www.mouser.com/Passive-Components/Capacitors/Ceramic-Capacitors/MLCCs-Multilayer-Ceramic-Capacitors/Multilayer-Ceramic-Capacitors-MLCC-SMD-SMT/_/N-bkrdv?P=1yzmou0Z1z0wqus,,,
Z1,ZENER_4_CHANNEL,GLCD:SOT-666,http://www.semtech.com/images/datasheet/uclamp0504a.pdf,Semtech,UCLAMP0504A.TCT,947-UCLAMP0504A.TCT,http://www.mouser.com/ProductDetail/Semtech/UCLAMP0504ATCT/?qs=rBWM4%252bvDhIfEUuo6cYGUyg%3D%3D,-,http://www.digikey.com/product-search/en/circuit-protection/tvs-diodes/655429,,,
SD1,SD_CARD,GLCD:SD_Card_Receptacle,http://www.te.com/commerce/DocumentDelivery/DDEController?Action=showdoc&DocId=Data+Sheet%7F6-1773453-3_SD_QRG%7F1208%7Fpdf%7FEnglish%7FENG_DS_6-1773453-3_SD_QRG_1208.pdf%7F2041021-4,TE Connectivity,2041021-4,571-2041021-4,http://www.mouser.com/ProductDetail/TE-Connectivity/2041021-4/?qs=TL6PIybY3BNBwMuwjqQ%252bqw%3D%3D,-,-,-,http://www.te.com/commerce/DocumentDelivery/DDEController?Action=selcritrslt&searchby=part&searchfor=2041021-4&doctypes=All&docformats=All&doclangs=All&TCPN=2041021-4,http://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=2041021&DocType=Customer+Drawing&DocLang=English
